Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
England,New Zealand,England,106 runs,The Oval,"Jun 9, 1983",ODI # 197
Pakistan,Sri Lanka,Pakistan,50 runs,Swansea,"Jun 9, 1983",ODI # 198
Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham,"Jun 9, 1983",ODI # 199
India,West Indies,India,34 runs,Manchester,"Jun 9-10, 1983",ODI # 200
England,Sri Lanka,England,47 runs,Taunton,"Jun 11, 1983",ODI # 201
New Zealand,Pakistan,New Zealand,52 runs,Birmingham,"Jun 11-12, 1983",ODI # 202
Australia,West Indies,West Indies,101 runs,Leeds,"Jun 11-12, 1983",ODI # 203
India,Zimbabwe,India,5 wickets,Leicester,"Jun 11, 1983",ODI # 204
England,Pakistan,England,8 wickets,Lord's,"Jun 13, 1983",ODI # 205
New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol,"Jun 13, 1983",ODI # 206
Australia,India,Australia,162 runs,Nottingham,"Jun 13, 1983",ODI # 207
West Indies,Zimbabwe,West Indies,8 wickets,Worcester,"Jun 13, 1983",ODI # 208
England,New Zealand,New Zealand,2 wickets,Birmingham,"Jun 15, 1983",ODI # 209
India,West Indies,West Indies,66 runs,The Oval,"Jun 15, 1983",ODI # 210
Pakistan,Sri Lanka,Pakistan,11 runs,Leeds,"Jun 16, 1983",ODI # 211
Australia,Zimbabwe,Australia,32 runs,Southampton,"Jun 16, 1983",ODI # 212
England,Pakistan,England,7 wickets,Manchester,"Jun 18, 1983",ODI # 213
New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,"Jun 18, 1983",ODI # 214
Australia,West Indies,West Indies,7 wickets,Lord's,"Jun 18, 1983",ODI # 215
India,Zimbabwe,India,31 runs,Tunbridge Wells,"Jun 18, 1983",ODI # 216
England,Sri Lanka,England,9 wickets,Leeds,"Jun 20, 1983",ODI # 217
New Zealand,Pakistan,Pakistan,11 runs,Nottingham,"Jun 20, 1983",ODI # 218
Australia,India,India,118 runs,Chelmsford,"Jun 20, 1983",ODI # 219
West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,"Jun 20, 1983",ODI # 220
England,India,India,6 wickets,Manchester,"Jun 22, 1983",ODI # 221
Pakistan,West Indies,West Indies,8 wickets,The Oval,"Jun 22, 1983",ODI # 222
India,West Indies,India,43 runs,Lord's,"Jun 25, 1983",ODI # 223
Pakistan,Sri Lanka,Pakistan,15 runs,Hyderabad (Sind),"Oct 8, 1987",ODI # 451
India,Australia,Australia,1 run,Chennai,"Oct 9, 1987",ODI # 453
England,West Indies,England,2 wickets,Gujranwala,"Oct 9, 1987",ODI # 452
New Zealand,Zimbabwe,New Zealand,3 runs,Hyderabad (Deccan),"Oct 10, 1987",ODI # 454
Pakistan,England,Pakistan,18 runs,Rawalpindi,"Oct 12-13, 1987",ODI # 455
Australia,Zimbabwe,Australia,96 runs,Chennai,"Oct 13, 1987",ODI # 456
Sri Lanka,West Indies,West Indies,191 runs,Karachi,"Oct 13, 1987",ODI # 457
India,New Zealand,India,16 runs,Bengaluru,"Oct 14, 1987",ODI # 458
Pakistan,West Indies,Pakistan,1 wicket,Lahore,"Oct 16, 1987",ODI # 459
India,Zimbabwe,India,8 wickets,Mumbai,"Oct 17, 1987",ODI # 461
England,Sri Lanka,England,108 runs,Peshawar,"Oct 17, 1987",ODI # 460
Australia,New Zealand,Australia,3 runs,Indore,"Oct 18-19, 1987",ODI # 462
Pakistan,England,Pakistan,7 wickets,Karachi,"Oct 20, 1987",ODI # 463
Sri Lanka,West Indies,West Indies,25 runs,Kanpur,"Oct 21, 1987",ODI # 464
India,Australia,India,56 runs,Delhi,"Oct 22, 1987",ODI # 465
New Zealand,Zimbabwe,New Zealand,4 wickets,Kolkata,"Oct 23, 1987",ODI # 466
Pakistan,Sri Lanka,Pakistan,113 runs,Faisalabad,"Oct 25, 1987",ODI # 467
England,West Indies,England,34 runs,Jaipur,"Oct 26, 1987",ODI # 468
India,Zimbabwe,India,7 wickets,Ahmedabad,"Oct 26, 1987",ODI # 469
Australia,New Zealand,Australia,17 runs,Chandigarh,"Oct 27, 1987",ODI # 470
Australia,Zimbabwe,Australia,70 runs,Cuttack,"Oct 30, 1987",ODI # 471
England,Sri Lanka,England,8 wickets,Pune,"Oct 30, 1987",ODI # 472
Pakistan,West Indies,West Indies,28 runs,Karachi,"Oct 30, 1987",ODI # 473
India,New Zealand,India,9 wickets,Nagpur,"Oct 31, 1987",ODI # 474
Pakistan,Australia,Australia,18 runs,Lahore,"Nov 4, 1987",ODI # 475
India,England,England,35 runs,Mumbai,"Nov 5, 1987",ODI # 476
Australia,England,Australia,7 runs,Kolkata,"Nov 8, 1987",ODI # 477
New Zealand,Australia,New Zealand,37 runs,Auckland,"Feb 22, 1992",ODI # 714
England,India,England,9 runs,Perth,"Feb 22, 1992",ODI # 715
Sri Lanka,Zimbabwe,Sri Lanka,3 wickets,New Plymouth,"Feb 23, 1992",ODI # 716
Pakistan,West Indies,West Indies,10 wickets,Melbourne,"Feb 23, 1992",ODI # 717
New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton,"Feb 25, 1992",ODI # 718
Australia,South Africa,South Africa,9 wickets,Sydney,"Feb 26, 1992",ODI # 719
Pakistan,Zimbabwe,Pakistan,53 runs,Hobart,"Feb 27, 1992",ODI # 720
England,West Indies,England,6 wickets,Melbourne,"Feb 27, 1992",ODI # 721
India,Sri Lanka,no result,,Mackay,"Feb 28, 1992",ODI # 722
New Zealand,South Africa,New Zealand,7 wickets,Auckland,"Feb 29, 1992",ODI # 723
West Indies,Zimbabwe,West Indies,75 runs,Brisbane,"Feb 29, 1992",ODI # 724
Australia,India,Australia,1 run,Brisbane,"Mar 1, 1992",ODI # 725
England,Pakistan,no result,,Adelaide,"Mar 1, 1992",ODI # 726
South Africa,Sri Lanka,Sri Lanka,3 wickets,Wellington,"Mar 2, 1992",ODI # 727
New Zealand,Zimbabwe,New Zealand,48 runs,Napier,"Mar 3, 1992",ODI # 728
India,Pakistan,India,43 runs,Sydney,"Mar 4, 1992",ODI # 729
South Africa,West Indies,South Africa,64 runs,Christchurch,"Mar 5, 1992",ODI # 730
Australia,England,England,8 wickets,Sydney,"Mar 5, 1992",ODI # 731
India,Zimbabwe,India,55 runs,Hamilton,"Mar 7, 1992",ODI # 732
Australia,Sri Lanka,Australia,7 wickets,Adelaide,"Mar 7, 1992",ODI # 733
New Zealand,West Indies,New Zealand,5 wickets,Auckland,"Mar 8, 1992",ODI # 734
Pakistan,South Africa,South Africa,20 runs,Brisbane,"Mar 8, 1992",ODI # 735
England,Sri Lanka,England,106 runs,Ballarat,"Mar 9, 1992",ODI # 736
India,West Indies,West Indies,5 wickets,Wellington,"Mar 10, 1992",ODI # 737
South Africa,Zimbabwe,South Africa,7 wickets,Canberra,"Mar 10, 1992",ODI # 738
Australia,Pakistan,Pakistan,48 runs,Perth,"Mar 11, 1992",ODI # 739
New Zealand,India,New Zealand,4 wickets,Dunedin,"Mar 12, 1992",ODI # 740
England,South Africa,England,3 wickets,Melbourne,"Mar 12, 1992",ODI # 741
Sri Lanka,West Indies,West Indies,91 runs,Berri,"Mar 13, 1992",ODI # 742
Australia,Zimbabwe,Australia,128 runs,Hobart,"Mar 14, 1992",ODI # 743
New Zealand,England,New Zealand,7 wickets,Wellington,"Mar 15, 1992",ODI # 744
India,South Africa,South Africa,6 wickets,Adelaide,"Mar 15, 1992",ODI # 745
Pakistan,Sri Lanka,Pakistan,4 wickets,Perth,"Mar 15, 1992",ODI # 746
New Zealand,Pakistan,Pakistan,7 wickets,Christchurch,"Mar 18, 1992",ODI # 747
England,Zimbabwe,Zimbabwe,9 runs,Albury,"Mar 18, 1992",ODI # 748
Australia,West Indies,Australia,57 runs,Melbourne,"Mar 18, 1992",ODI # 749
New Zealand,Pakistan,Pakistan,4 wickets,Auckland,"Mar 21, 1992",ODI # 750
England,South Africa,England,19 runs,Sydney,"Mar 22, 1992",ODI # 751
England,Pakistan,Pakistan,22 runs,Melbourne,"Mar 25, 1992",ODI # 752
England,New Zealand,New Zealand,11 runs,Ahmedabad,"Feb 14, 1996",ODI # 1048
South Africa,U.A.E.,South Africa,169 runs,Rawalpindi,"Feb 16, 1996",ODI # 1049
West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),"Feb 16, 1996",ODI # 1050
Netherlands,New Zealand,New Zealand,119 runs,Vadodara,"Feb 17, 1996",ODI # 1051
Sri Lanka,Australia,Sri Lanka,,Colombo (RPS),"Feb 17, 1996",ODI # 1051a
India,Kenya,India,7 wickets,Cuttack,"Feb 18, 1996",ODI # 1052
England,U.A.E.,England,8 wickets,Peshawar,"Feb 18, 1996",ODI # 1053
New Zealand,South Africa,South Africa,5 wickets,Faisalabad,"Feb 20, 1996",ODI # 1054
Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Feb 21, 1996",ODI # 1055
India,West Indies,India,5 wickets,Gwalior,"Feb 21, 1996",ODI # 1056
England,Netherlands,England,49 runs,Peshawar,"Feb 22, 1996",ODI # 1057
Australia,Kenya,Australia,97 runs,Visakhapatnam,"Feb 23, 1996",ODI # 1058
Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,"Feb 24, 1996",ODI # 1059
Sri Lanka,West Indies,Sri Lanka,,Colombo (RPS),"Feb 25, 1996",ODI # 1060a
England,South Africa,South Africa,78 runs,Rawalpindi,"Feb 25, 1996",ODI # 1060
Kenya,Zimbabwe,no result,,Patna,"Feb 26, 1996",ODI # 1061
Pakistan,Netherlands,Pakistan,8 wickets,Lahore,"Feb 26, 1996",ODI # 1062
Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna,"Feb 27, 1996",ODI # 1063
New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad,"Feb 27, 1996",ODI # 1064
